iter	Passed	Remaining
472	720	803
473	722	801
474	723	799
475	724	797
476	726	796
477	727	794
478	729	792
479	730	791
480	731	789
481	733	787
482	734	786
483	735	784
484	737	782
485	738	780
486	739	779
487	740	777
488	742	775
489	743	774
490	744	772
491	746	770
492	747	768
493	748	766
494	750	765
495	751	763
496	752	761
497	753	759
498	755	758
499	756	756
500	757	754
501	758	752
502	760	751
503	761	749
504	762	747
505	763	745
506	765	744
507	767	742
508	768	741
509	769	739
510	770	737
511	772	736
512	773	734
513	775	732
514	776	731
515	777	729
516	779	727
517	780	726
518	781	724
519	783	722
520	784	721
521	785	719
522	787	717
523	788	716
524	789	714
525	791	713
526	792	711
527	794	710
528	796	708
529	797	707
530	798	705
531	800	703
532	801	702
533	802	700
534	804	699
535	805	697
536	807	695
537	809	695
538	811	694
539	813	692
540	814	691
541	816	689
542	817	688
543	819	686
544	820	685
545	823	684
546	825	683
547	826	682
548	828	680
549	829	679
550	832	678
551	833	676
552	835	675
553	836	673
554	837	671
555	839	670
556	841	669
557	842	667
558	844	666
559	846	664
560	847	663
561	849	661
562	851	660
563	853	659
564	854	658
565	856	656
566	857	655
567	859	653
568	860	651
569	862	650
570	863	649
571	865	647
572	866	645
573	867	644
574	869	642
575	870	640
576	871	639
577	873	637
578	874	636
579	875	634
580	877	632
581	878	631
582	880	629
583	881	627
584	883	626
585	884	625
586	886	623
587	888	622
588	889	620
589	891	619
590	892	617
591	894	616
592	895	614
593	897	613
594	898	611
595	900	610
596	901	608
597	902	607
598	904	605
599	906	604
600	909	603
601	910	602
602	912	600
603	913	599
604	915	597
605	916	596
606	918	594
607	919	592
608	920	591
609	922	589
610	923	587
611	925	586
612	926	584
613	927	582
614	928	581
615	930	580
616	932	578
617	933	577
618	935	575
619	936	574
620	938	572
621	944	573
622	946	572
623	949	572
624	953	571
625	957	572
626	959	570
627	961	569
628	963	568
629	966	567
630	968	566
631	970	565
632	974	564
633	976	563
634	978	562
635	981	561
636	983	560
637	985	559
638	989	558
639	991	557
640	994	556
641	996	555
642	998	554
643	1001	553
644	1003	552
645	1005	550
646	1007	549
647	1009	548
648	1010	546
649	1013	545
650	1015	544
651	1016	542
652	1018	541
653	1019	539
654	1022	538
655	1024	537
