iter	Logloss
0	0.6864140568
1	0.6800164381
2	0.6721322107
3	0.6654687607
4	0.6570434075
5	0.6501939869
6	0.6438643496
7	0.6366371395
8	0.6306609213
9	0.6233896079
10	0.6179485753
11	0.6123103977
12	0.6065159197
13	0.60132747
14	0.5943777406
15	0.5880062708
16	0.5818523416
17	0.5774151716
18	0.571484934
19	0.5673998496
20	0.5617342432
21	0.556096239
22	0.5511493158
23	0.5464410277
24	0.5419038324
25	0.537555847
26	0.5321773204
27	0.5278733257
28	0.5229831194
29	0.5188928384
30	0.5157924636
31	0.5128258955
32	0.5088559324
33	0.5045954645
34	0.5004114668
35	0.4951550466
36	0.4910843565
37	0.4876899382
38	0.4835356833
39	0.4812388477
40	0.4767268458
41	0.4729742007
42	0.4701113844
43	0.4663751794
44	0.4640975418
45	0.4596645133
46	0.4569904791
47	0.4536034746
48	0.4506022544
49	0.4477981027
50	0.4448694085
51	0.4416292753
52	0.438346898
53	0.4359967538
54	0.4329553641
55	0.4302350176
56	0.4274501779
57	0.4251890719
58	0.4222604297
59	0.4195931188
60	0.4168699806
61	0.414728538
62	0.4122170613
63	0.4100437436
64	0.4073219741
65	0.405525989
66	0.40342439
67	0.4009342073
68	0.3986489749
69	0.3964851701
70	0.3945280127
71	0.3927023069
72	0.3900917273
73	0.387464347
74	0.385795514
75	0.3842127599
76	0.38262827
77	0.3807430674
78	0.3786852542
79	0.3767670502
80	0.3748158681
81	0.3726926101
82	0.3707983124
83	0.3689629977
84	0.3675593536
85	0.3658036751
86	0.3639649279
87	0.3625446699
88	0.3607342939
89	0.3590735129
90	0.3577340447
91	0.3561752263
92	0.354764092
93	0.3537257047
94	0.351975342
95	0.3507275516
96	0.3502331734
97	0.3487951276
98	0.3473722661
99	0.3461598794
100	0.3449578539
101	0.3437471074
102	0.3424136888
103	0.3411310499
104	0.339921159
105	0.3384549039
106	0.3367615689
107	0.3353888756
108	0.3341336609
109	0.3330920199
110	0.3317576644
111	0.3301119064
112	0.3298290663
113	0.3291179105
114	0.3273727571
115	0.3262432995
116	0.3252392454
117	0.3241781414
118	0.3231322966
119	0.3219395776
120	0.3208071147
121	0.3202820593
122	0.319658634
123	0.3183633005
124	0.3175134482
125	0.3165514698
126	0.3157627616
127	0.3150634535
128	0.3141157652
129	0.3134753745
130	0.3128890497
131	0.3116405073
132	0.3106358184
133	0.3095056596
134	0.3086104377
135	0.3078319662
136	0.3066702603
137	0.3056875187
138	0.3047212896
139	0.3039346502
140	0.3032471849
141	0.3020976485
