iter	Logloss
0	0.6793547269
1	0.6657759862
2	0.6544830121
3	0.6427352868
4	0.6321312078
5	0.621823286
6	0.611483462
7	0.6046564928
8	0.5963937968
9	0.5888032665
10	0.5809870323
11	0.5737764359
12	0.5690849299
13	0.5628629324
14	0.5570279051
15	0.5514586094
16	0.54692266
17	0.5422179135
18	0.537513803
19	0.5333661526
20	0.5290000902
21	0.5261634165
22	0.5227539361
23	0.5199481796
24	0.5165588673
25	0.5137482148
26	0.5108005103
27	0.5085533232
28	0.5062683627
29	0.5035480322
30	0.501260634
31	0.4991327543
32	0.4964822843
33	0.4942044622
34	0.4923714375
35	0.4898533229
36	0.4881059341
37	0.4864844615
38	0.4842788816
39	0.482226709
40	0.480435189
41	0.4786377989
42	0.476984094
43	0.4750577225
44	0.473153768
45	0.4713270987
46	0.4702771555
47	0.4701142826
48	0.4685606323
49	0.4673646891
50	0.4661707964
51	0.4649219676
52	0.4634952774
53	0.4625600997
54	0.4611476963
55	0.4601530606
56	0.4593938506
57	0.458138042
58	0.4564304244
59	0.4549886202
60	0.4547871496
61	0.4535352184
62	0.4522461415
63	0.4513237204
64	0.4501160246
65	0.4488351613
66	0.448107266
67	0.4476170658
68	0.4470901699
69	0.4458542074
70	0.44477327
71	0.4440981883
72	0.4426013967
73	0.4412860499
74	0.4407721102
75	0.4401263672
76	0.4395746644
77	0.4385580972
78	0.4376703894
79	0.4368048594
80	0.4357949451
81	0.4354434147
82	0.4351357015
83	0.4339099651
84	0.4331567151
85	0.4326634401
86	0.43220722
87	0.4314567457
88	0.4309369217
89	0.4304529408
90	0.4299047797
91	0.4294291602
92	0.4287652303
93	0.4281668832
94	0.4277653667
95	0.426748305
96	0.426530506
97	0.4259834234
98	0.4253583712
99	0.4251642301
